תאריך,הגרלה,תלתן,יהלום,לב,עלה
03/08/2025,51382,K,J,8,7,
03/08/2025,51383,7,9,A,K,
03/08/2025,51384,A,8,Q,9,
03/08/2025,51385,Q,8,A,7,
03/08/2025,51386,K,A,7,A,
03/08/2025,51387,7,9,9,9,
03/08/2025,51388,10,8,K,7,
04/08/2025,51389,10,10,J,J,
04/08/2025,51390,10,J,9,9,
04/08/2025,51391,A,J,7,10,
04/08/2025,51392,J,Q,Q,10,
04/08/2025,51393,J,A,Q,10,
04/08/2025,51394,9,9,Q,A,
04/08/2025,51395,10,10,8,8,
05/08/2025,51396,Q,J,7,8,
05/08/2025,51397,10,J,J,7,
05/08/2025,51398,9,Q,K,J,
05/08/2025,51399,9,8,A,10,
05/08/2025,51400,7,A,10,10,
05/08/2025,51401,9,10,Q,8,
05/08/2025,51402,10,J,7,Q,
06/08/2025,51403,10,Q,K,J,
06/08/2025,51404,J,8,J,7,
06/08/2025,51405,9,8,J,9,
06/08/2025,51406,7,10,Q,J,
06/08/2025,51407,7,8,K,J,
06/08/2025,51408,7,10,10,J,
06/08/2025,51409,J,J,K,K,
07/08/2025,51410,10,9,8,A,
07/08/2025,51411,9,Q,K,K,
07/08/2025,51412,10,8,Q,Q,
07/08/2025,51413,J,10,8,J,
07/08/2025,51414,Q,10,Q,J,
07/08/2025,51415,9,Q,A,10,
07/08/2025,51416,Q,10,10,10,
08/08/2025,51417,K,9,8,J,
08/08/2025,51418,10,10,A,10,
08/08/2025,51419,7,A,J,A,
09/08/2025,51420,10,9,K,9,
09/08/2025,51421,9,10,10,7,
10/08/2025,51422,10,9,9,Q,
10/08/2025,51423,7,9,Q,Q,
10/08/2025,51424,10,J,10,J,
10/08/2025,51425,8,Q,J,K,
10/08/2025,51426,Q,J,8,9,
10/08/2025,51427,8,Q,K,7,
10/08/2025,51428,Q,9,K,J,
11/08/2025,51429,8,J,J,7,
11/08/2025,51430,Q,10,7,A,
11/08/2025,51431,K,Q,8,8,
11/08/2025,51432,8,8,9,Q,
11/08/2025,51433,A,Q,10,10,
11/08/2025,51434,J,K,8,A,
11/08/2025,51435,J,9,7,9,
12/08/2025,51436,Q,9,A,A,
12/08/2025,51437,7,K,A,8,
12/08/2025,51438,A,9,7,9,
12/08/2025,51439,8,7,10,9,
12/08/2025,51440,7,9,A,Q,
12/08/2025,51441,9,J,9,J,
12/08/2025,51442,A,7,10,9,
13/08/2025,51443,8,10,7,Q,
13/08/2025,51444,7,J,9,8,
13/08/2025,51445,A,9,A,A,
13/08/2025,51446,10,10,Q,7,
13/08/2025,51447,10,9,9,7,
13/08/2025,51448,9,9,K,A,
13/08/2025,51449,10,8,K,7,
14/08/2025,51450,7,A,Q,9,
14/08/2025,51451,7,K,10,9,
14/08/2025,51452,Q,7,K,A,
14/08/2025,51453,9,Q,10,7,
14/08/2025,51454,A,10,K,9,
14/08/2025,51455,7,Q,A,J,
14/08/2025,51456,10,K,8,10,
15/08/2025,51457,7,J,Q,A,
15/08/2025,51458,A,9,J,K,
15/08/2025,51459,9,9,A,9,
16/08/2025,51460,K,8,K,J,
16/08/2025,51461,7,9,8,J,
17/08/2025,51462,Q,J,A,A,
17/08/2025,51463,7,J,8,9,
17/08/2025,51464,8,10,K,J,
17/08/2025,51465,10,A,K,10,
17/08/2025,51466,Q,K,J,10,
17/08/2025,51467,A,J,K,10,
17/08/2025,51468,J,9,8,A,
18/08/2025,51469,10,K,9,9,
18/08/2025,51470,K,J,10,7,
18/08/2025,51471,J,10,8,J,
18/08/2025,51472,A,K,9,K,
18/08/2025,51473,A,J,10,8,
18/08/2025,51474,8,10,8,8,
18/08/2025,51475,J,7,9,A,
19/08/2025,51476,A,Q,10,K,
19/08/2025,51477,A,9,7,9,
19/08/2025,51478,Q,10,8,7,
19/08/2025,51479,7,A,9,K,
19/08/2025,51480,9,9,8,J,
19/08/2025,51481,J,J,J,K,
19/08/2025,51482,J,Q,K,J,
20/08/2025,51483,9,8,9,Q,
20/08/2025,51484,9,K,10,7,
20/08/2025,51485,A,K,K,K,
20/08/2025,51486,7,9,9,J,
20/08/2025,51487,10,8,7,Q,
20/08/2025,51488,8,J,K,K,
20/08/2025,51489,9,Q,9,10,
21/08/2025,51490,9,10,A,8,
21/08/2025,51491,K,A,8,J,
21/08/2025,51492,A,Q,Q,Q,
21/08/2025,51493,J,Q,10,10,
21/08/2025,51494,K,Q,K,A,
21/08/2025,51495,7,9,K,9,
21/08/2025,51496,K,A,8,9,
22/08/2025,51497,7,J,8,A,
22/08/2025,51498,9,J,K,10,
22/08/2025,51499,K,A,10,7,
23/08/2025,51500,Q,10,9,K,
23/08/2025,51501,Q,9,Q,10,
24/08/2025,51502,J,J,9,9,
24/08/2025,51503,J,7,K,10,
24/08/2025,51504,Q,7,A,J,
24/08/2025,51505,7,10,9,J,
24/08/2025,51506,Q,Q,9,A,
24/08/2025,51507,J,Q,Q,7,
24/08/2025,51508,A,7,8,Q,
25/08/2025,51509,7,Q,J,A,
25/08/2025,51510,7,10,7,9,
25/08/2025,51511,10,Q,7,J,
25/08/2025,51512,J,J,J,J,
25/08/2025,51513,J,A,7,9,
25/08/2025,51514,9,8,Q,10,
25/08/2025,51515,A,7,Q,Q,
26/08/2025,51516,J,9,7,A,
26/08/2025,51517,A,Q,9,A,
26/08/2025,51518,8,7,J,8,
26/08/2025,51519,8,9,A,7,
26/08/2025,51520,7,10,A,8,
26/08/2025,51521,8,7,Q,10,
26/08/2025,51522,K,J,Q,9,
27/08/2025,51523,8,K,7,A,
27/08/2025,51524,J,7,Q,Q,
27/08/2025,51525,10,7,10,Q,
27/08/2025,51526,J,J,8,8,
27/08/2025,51527,7,8,A,9,
27/08/2025,51528,7,7,8,Q,
27/08/2025,51529,8,J,A,8,
28/08/2025,51530,J,A,J,9,
28/08/2025,51531,J,9,A,K,
28/08/2025,51532,J,9,J,J,
28/08/2025,51533,K,K,J,J,
28/08/2025,51534,7,10,10,A,
28/08/2025,51535,Q,Q,9,9,
28/08/2025,51536,K,8,10,J,
29/08/2025,51537,K,10,J,J,
29/08/2025,51538,A,9,K,K,
29/08/2025,51539,Q,K,Q,10,
30/08/2025,51540,Q,K,K,K,
30/08/2025,51541,10,8,9,J,
31/08/2025,51542,J,10,7,J,
31/08/2025,51543,Q,A,7,10,
31/08/2025,51544,A,8,10,7,
31/08/2025,51545,K,7,A,9,
31/08/2025,51546,J,10,A,7,
31/08/2025,51547,7,A,K,10,
31/08/2025,51548,A,7,J,7,
01/09/2025,51549,Q,9,9,8,
01/09/2025,51550,J,10,A,J,
01/09/2025,51551,8,9,10,K,
01/09/2025,51552,7,7,J,7,
01/09/2025,51553,A,Q,K,K,
01/09/2025,51554,9,8,Q,J,
01/09/2025,51555,J,7,10,K,
02/09/2025,51556,K,Q,K,7,
02/09/2025,51557,A,7,8,9,
02/09/2025,51558,J,J,7,Q,
02/09/2025,51559,Q,8,A,K,
02/09/2025,51560,8,Q,10,Q,
02/09/2025,51561,K,J,J,A,
02/09/2025,51562,10,10,A,7,
03/09/2025,51563,A,A,9,K,
03/09/2025,51564,Q,J,Q,A,
03/09/2025,51565,J,A,K,A,
03/09/2025,51566,K,7,8,8,
03/09/2025,51567,9,8,10,J,
03/09/2025,51568,7,A,Q,Q,
03/09/2025,51569,Q,7,Q,8,
04/09/2025,51570,10,9,J,J,
04/09/2025,51571,9,K,Q,K,
04/09/2025,51572,7,J,9,8,
04/09/2025,51573,9,10,J,A,
04/09/2025,51574,J,7,8,10,
04/09/2025,51575,7,8,9,Q,
04/09/2025,51576,10,A,10,J,
05/09/2025,51577,J,J,9,Q,
05/09/2025,51578,A,Q,K,9,
05/09/2025,51579,10,Q,J,A,
06/09/2025,51580,7,K,10,7,
06/09/2025,51581,7,8,8,10,
07/09/2025,51582,K,A,K,A,
07/09/2025,51583,J,J,8,10,
07/09/2025,51584,A,J,A,A,
07/09/2025,51585,J,K,10,7,
07/09/2025,51586,8,J,K,J,
07/09/2025,51587,J,9,10,10,
07/09/2025,51588,9,8,A,7,
08/09/2025,51589,Q,J,10,10,
08/09/2025,51590,K,10,K,7,
08/09/2025,51591,9,A,Q,9,
08/09/2025,51592,8,9,J,8,
08/09/2025,51593,7,J,Q,7,
08/09/2025,51594,K,7,A,K,
08/09/2025,51595,8,A,Q,J,
09/09/2025,51596,9,K,7,10,
09/09/2025,51597,7,A,K,8,
09/09/2025,51598,J,8,9,9,
09/09/2025,51599,7,8,J,J,
09/09/2025,51600,7,9,7,Q,
09/09/2025,51601,K,9,A,9,
09/09/2025,51602,7,10,Q,9,
10/09/2025,51603,8,9,J,K,
10/09/2025,51604,10,A,7,K,
10/09/2025,51605,10,8,10,K,
10/09/2025,51606,10,J,A,A,
10/09/2025,51607,A,K,Q,9,
10/09/2025,51608,8,9,Q,Q,
10/09/2025,51609,Q,9,A,8,
11/09/2025,51610,J,K,K,9,
11/09/2025,51611,K,7,J,9,
11/09/2025,51612,A,9,7,9,
11/09/2025,51613,Q,7,10,J,
11/09/2025,51614,9,J,7,K,
11/09/2025,51615,10,9,J,9,
11/09/2025,51616,Q,A,9,7,
12/09/2025,51617,7,K,K,8,
12/09/2025,51618,K,10,K,7,
12/09/2025,51619,K,10,Q,A,
13/09/2025,51620,A,K,K,Q,
13/09/2025,51621,7,9,K,A,
14/09/2025,51622,10,8,10,7,
14/09/2025,51623,9,Q,K,8,
14/09/2025,51624,J,A,A,A,
14/09/2025,51625,9,7,8,Q,
14/09/2025,51626,8,J,10,9,
14/09/2025,51627,7,Q,A,10,
14/09/2025,51628,10,10,Q,J,
15/09/2025,51629,9,A,J,8,
15/09/2025,51630,K,9,A,J,
15/09/2025,51631,K,7,7,A,
15/09/2025,51632,Q,A,9,A,
15/09/2025,51633,A,Q,A,Q,
15/09/2025,51634,A,9,8,10,
15/09/2025,51635,8,10,8,Q,
16/09/2025,51636,9,9,7,J,
16/09/2025,51637,K,Q,9,A,
16/09/2025,51638,10,Q,9,7,
16/09/2025,51639,Q,K,10,9,
16/09/2025,51640,K,9,K,Q,
16/09/2025,51641,Q,7,7,9,
16/09/2025,51642,8,9,K,7,
17/09/2025,51643,7,Q,8,7,
17/09/2025,51644,K,10,9,10,
17/09/2025,51645,9,7,A,8,
17/09/2025,51646,Q,K,Q,7,
17/09/2025,51647,7,J,10,8,
17/09/2025,51648,7,8,8,A,
17/09/2025,51649,9,7,7,K,
18/09/2025,51650,K,Q,9,A,
18/09/2025,51651,8,10,8,Q,
18/09/2025,51652,8,J,9,8,
18/09/2025,51653,K,10,7,A,
18/09/2025,51654,8,8,A,J,
18/09/2025,51655,9,A,8,K,
18/09/2025,51656,J,7,8,A,
19/09/2025,51657,A,9,9,Q,
19/09/2025,51658,7,10,Q,7,
19/09/2025,51659,A,7,10,A,
20/09/2025,51660,A,10,J,J,
20/09/2025,51661,J,Q,K,Q,
21/09/2025,51662,9,9,Q,Q,
21/09/2025,51663,8,A,A,7,
21/09/2025,51664,Q,8,10,7,
21/09/2025,51665,9,9,J,8,
21/09/2025,51666,Q,7,Q,J,
